name	system	score	length	NonEffector.prob	T1SE.prob	T2SE.prob	T3SE.prob	T4SE.prob	T6SE.prob	assembly	replicon	protein_id	location	annotation	locus_tag	gene
CP002745.1_prot_0138	VI	0.4069	402	0.0354	0.097	0.0005	0.3999	0.0603	0.4069	GCA_000221045	CP002745.1	AEK59977.1	complement(171311..172519)	hypothetical protein	CFU_0139	
CP002745.1_prot_0144	II	0.6749	757	0.1863	0.0516	0.6749	0.0079	0.0197	0.0596	GCA_000221045	CP002745.1	AEK59983.1	178964..181237	putative acid phosphatase protein	CFU_0145	
CP002745.1_prot_0173	VI	0.6815	102	0.2062	0.0189	0.0014	0.0895	0.0025	0.6815	GCA_000221045	CP002745.1	AEK60012.1	complement(209319..209627)	hypothetical protein	CFU_0174	
CP002745.1_prot_0175	II	0.6043	314	0.195	0.0135	0.6043	0.0196	0.1555	0.0121	GCA_000221045	CP002745.1	AEK60014.1	complement(211942..212886)	S1/P1 nuclease	CFU_0176	
CP002745.1_prot_0177	III	0.6753	72	0.2168	0.0051	0.0002	0.6753	0.0852	0.0175	GCA_000221045	CP002745.1	AEK60016.1	213783..214001	hypothetical protein	CFU_0178	
CP002745.1_prot_0180	VI	0.875	215	0.0162	0.0032	0.0001	0.018	0.0876	0.875	GCA_000221045	CP002745.1	AEK60019.1	214815..215462	hypothetical protein	CFU_0181	
CP002745.1_prot_0185	II	0.6332	538	0.2946	0.0143	0.6332	0.0273	0.025	0.0056	GCA_000221045	CP002745.1	AEK60024.1	complement(219524..221140)	Phosphoserine phosphatase	CFU_0186	
CP002745.1_prot_0201	II	0.7501	435	0.1372	0.0185	0.7501	0.0167	0.0621	0.0154	GCA_000221045	CP002745.1	AEK60040.1	242037..243344	protein containing hemopexin repeats	CFU_0202	
CP002745.1_prot_0205	VI	0.7135	471	0.1134	0.0004	0.0001	0.0701	0.1025	0.7135	GCA_000221045	CP002745.1	AEK60044.1	complement(247421..248836)	hypothetical protein	CFU_0206	
CP002745.1_prot_0238	III	0.8617	347	0.1069	0.0009	0.0025	0.8617	0.0108	0.0171	GCA_000221045	CP002745.1	AEK60077.1	complement(298308..299351)	hypothetical protein	CFU_0239	
CP002745.1_prot_0245	VI	0.578	378	0.0884	0.0149	0.0005	0.2936	0.0246	0.578	GCA_000221045	CP002745.1	AEK60084.1	306170..307306	hypothetical protein	CFU_0246	
CP002745.1_prot_0268	II	0.9254	755	0.0125	0.0371	0.9254	0.013	0.0033	0.0087	GCA_000221045	CP002745.1	AEK60107.1	complement(347770..350037)	LPXTG-motif cell wall anchor domain protein	CFU_0269	yvnB
CP002745.1_prot_0281	III	0.484	822	0.3762	0.0004	0.0004	0.484	0.1378	0.0012	GCA_000221045	CP002745.1	AEK60120.1	360488..362956	ATP-dependent transcriptional regulator	CFU_0282	
CP002745.1_prot_0290	II	0.7998	454	0.0359	0.0873	0.7998	0.0011	0.0232	0.0527	GCA_000221045	CP002745.1	AEK60129.1	complement(378072..379436)	Parallel beta-helix repeat protein	CFU_0291	ywoF
CP002745.1_prot_0300	VI	0.5769	396	0.0583	0.0212	0.0051	0.2693	0.0692	0.5769	GCA_000221045	CP002745.1	AEK60139.1	390363..391553	hypothetical protein	CFU_0301	
CP002745.1_prot_0301	VI	0.9148	186	0.0066	0.0197	0.0005	0.0174	0.0411	0.9148	GCA_000221045	CP002745.1	AEK60140.1	complement(391575..392135)	hypothetical protein	CFU_0302	
CP002745.1_prot_0322	III	0.9498	245	0.0262	0.0084	0.0068	0.9498	0.0021	0.0067	GCA_000221045	CP002745.1	AEK60161.1	413660..414397	protein of unknown function DUF861, cupin_3	CFU_0323	
CP002745.1_prot_0328	II	0.9505	611	0.0048	0.0248	0.9505	0.0099	0.0013	0.0087	GCA_000221045	CP002745.1	AEK60167.1	421093..422928	Polygalacturonase precursor (PGA) (Pectinase)	CFU_0329	pglA
CP002745.1_prot_0340	II	0.7413	703	0.1804	0.0288	0.7413	0.0295	0.0045	0.0155	GCA_000221045	CP002745.1	AEK60179.1	436689..438800	Phospholipase C	CFU_0341	
CP002745.1_prot_0366	VI	0.4966	80	0.4942	0.0019	0.0006	0.0006	0.0062	0.4966	GCA_000221045	CP002745.1	AEK60205.1	complement(465831..466073)	hypothetical protein	CFU_0367	
CP002745.1_prot_0444	III	0.3599	112	0.3388	0.0081	0.0017	0.3599	0.0439	0.2475	GCA_000221045	CP002745.1	AEK60283.1	541286..541624	Frataxin-like protein	CFU_0446	cyaY
CP002745.1_prot_0445	III	0.7373	391	0.0116	0.0265	0.0005	0.7373	0.0738	0.1503	GCA_000221045	CP002745.1	AEK60284.1	complement(541764..542939)	hypothetical protein	CFU_0447	
CP002745.1_prot_0475	II	0.9106	426	0.057	0.0076	0.9106	0.0021	0.0055	0.0171	GCA_000221045	CP002745.1	AEK60314.1	complement(575369..576649)	hypothetical protein	CFU_0477	
CP002745.1_prot_0494	III	0.3908	512	0.3614	0.0053	0.0139	0.3908	0.0025	0.2261	GCA_000221045	CP002745.1	AEK60333.1	598354..599892	AMP nucleosidase	CFU_0496	amn
CP002745.1_prot_0495	III	0.7196	76	0.0454	0.057	0.0029	0.7196	0.0101	0.1649	GCA_000221045	CP002745.1	AEK60334.1	599910..600140	hypothetical protein	CFU_0497	
CP002745.1_prot_0525	VI	0.5224	609	0.0664	0.0706	0.0007	0.251	0.0888	0.5224	GCA_000221045	CP002745.1	AEK60364.1	627303..629132	hypothetical protein	CFU_0527	
CP002745.1_prot_0535	VI	0.9973	871	0.0019	0.0006	0.0	0.0001	0.0	0.9973	GCA_000221045	CP002745.1	AEK60374.1	641553..644168	Rhs element Vgr protein	CFU_0538	
CP002745.1_prot_0536	VI	0.9992	613	0.0	0.0003	0.0001	0.0001	0.0002	0.9992	GCA_000221045	CP002745.1	AEK60375.1	644168..646009	hypothetical protein	CFU_0539	
CP002745.1_prot_0537	VI	0.9598	326	0.0278	0.0076	0.0005	0.0001	0.0042	0.9598	GCA_000221045	CP002745.1	AEK60376.1	645991..646971	hypothetical protein	CFU_0540	
CP002745.1_prot_0538	VI	0.8852	329	0.0902	0.0073	0.0009	0.0001	0.0162	0.8852	GCA_000221045	CP002745.1	AEK60377.1	647214..648203	hypothetical protein	CFU_0541	
CP002745.1_prot_0563	III	0.8645	183	0.0437	0.0026	0.0014	0.8645	0.0093	0.0784	GCA_000221045	CP002745.1	AEK60402.1	complement(667692..668243)	conserved hypothetical protein	CFU_0566	
CP002745.1_prot_0566	III	0.9213	124	0.0562	0.0017	0.0002	0.9213	0.0178	0.0028	GCA_000221045	CP002745.1	AEK60405.1	complement(670690..671064)	Putative GTPase	CFU_0569	
CP002745.1_prot_0573	III	0.8938	114	0.0341	0.0013	0.0005	0.8938	0.0187	0.0516	GCA_000221045	CP002745.1	AEK60412.1	complement(677944..678288)	hypothetical protein	CFU_0576	
CP002745.1_prot_0586	III	0.3731	288	0.2494	0.0051	0.0008	0.3731	0.0199	0.3518	GCA_000221045	CP002745.1	AEK60425.1	686591..687457	glutathione S-transferase-like protein	CFU_0589	
CP002745.1_prot_0596	III	0.7706	171	0.1381	0.003	0.0043	0.7706	0.0738	0.0102	GCA_000221045	CP002745.1	AEK60435.1	698248..698763	auxin-binding protein, putative	CFU_0599	manC
CP002745.1_prot_0623	III	0.757	283	0.2296	0.0005	0.0005	0.757	0.0091	0.0033	GCA_000221045	CP002745.1	AEK60462.1	730213..731064	hypothetical protein	CFU_0626	
CP002745.1_prot_0669	II	0.5622	638	0.0577	0.1825	0.5622	0.0162	0.0349	0.1465	GCA_000221045	CP002745.1	AEK60508.1	complement(784523..786439)	hypothetical protein	CFU_0673	
CP002745.1_prot_0670	II	0.8369	824	0.0395	0.0813	0.8369	0.0196	0.0008	0.0219	GCA_000221045	CP002745.1	AEK60509.1	787885..790359	Phosphoesterase	CFU_0674	plcN
CP002745.1_prot_0675	II	0.8699	570	0.0597	0.0078	0.8699	0.0159	0.0108	0.0359	GCA_000221045	CP002745.1	AEK60514.1	795080..796792	Tannase and feruloyl esterase	CFU_0679	hcaG
CP002745.1_prot_0684	VI	0.9996	163	0.0002	0.0001	0.0	0.0	0.0	0.9996	GCA_000221045	CP002745.1	AEK60523.1	804780..805271	Hypothetical Protein	CFU_0688	
CP002745.1_prot_0686	III	0.389	492	0.0198	0.0484	0.0007	0.389	0.2642	0.278	GCA_000221045	CP002745.1	AEK60525.1	complement(806028..807506)	hypothetical protein	CFU_0690	gltP
CP002745.1_prot_0692	III	0.6036	672	0.0234	0.1693	0.0008	0.6036	0.1098	0.093	GCA_000221045	CP002745.1	AEK60531.1	816703..818721	hypothetical protein	CFU_0697	
CP002745.1_prot_0822	III	0.472	301	0.3767	0.0066	0.0133	0.472	0.0207	0.1106	GCA_000221045	CP002745.1	AEK60661.1	976656..977561	hypothetical protein	CFU_0827	
CP002745.1_prot_0844	VI	0.5052	493	0.0132	0.0372	0.0072	0.0567	0.3806	0.5052	GCA_000221045	CP002745.1	AEK60683.1	complement(1005081..1006562)	Extensin-like protein	CFU_0849	
CP002745.1_prot_0859	II	0.5021	421	0.4478	0.0017	0.5021	0.0047	0.0248	0.019	GCA_000221045	CP002745.1	AEK60698.1	1022987..1024252	Phosphoserine phosphatase	CFU_0865	
CP002745.1_prot_0865	VI	0.562	485	0.0809	0.0135	0.0003	0.0271	0.3162	0.562	GCA_000221045	CP002745.1	AEK60704.1	1030803..1032260	conserved hypothetical protein	CFU_0871	
CP002745.1_prot_0895	III	0.9123	431	0.0011	0.0497	0.0005	0.9123	0.0071	0.0293	GCA_000221045	CP002745.1	AEK60734.1	1064310..1065605	hypothetical protein	CFU_0901	
CP002745.1_prot_0930	III	0.9955	114	0.002	0.0012	0.0009	0.9955	0.0001	0.0003	GCA_000221045	CP002745.1	AEK60769.1	complement(1105501..1105845)	Negative regulator of flagellin synthesis	CFU_0937	flgM
CP002745.1_prot_0952	III	0.8839	453	0.0726	0.0208	0.0065	0.8839	0.0032	0.013	GCA_000221045	CP002745.1	AEK60791.1	complement(1122913..1124274)	Flagellar hook-length control protein	CFU_0959	
CP002745.1_prot_0955	III	0.4931	243	0.4294	0.0078	0.0048	0.4931	0.0043	0.0606	GCA_000221045	CP002745.1	AEK60794.1	complement(1126285..1127016)	Flagellar assembly protein	CFU_0962	fliH
CP002745.1_prot_0958	III	0.7366	142	0.2577	0.0019	0.0008	0.7366	0.002	0.001	GCA_000221045	CP002745.1	AEK60797.1	1129943..1130371	Flagellar hook-basal body complex protein	CFU_0965	fliE
CP002745.1_prot_0959	III	0.9529	231	0.0275	0.001	0.0003	0.9529	0.001	0.0173	GCA_000221045	CP002745.1	AEK60798.1	1130381..1131076	Inner membrane protein	CFU_0966	ycgR
CP002745.1_prot_0961	III	0.9985	137	0.0001	0.0006	0.0002	0.9985	0.0001	0.0005	GCA_000221045	CP002745.1	AEK60800.1	1132462..1132875	Flagellin protein	CFU_0968	fliC
CP002745.1_prot_0962	I	0.4964	486	0.2564	0.4964	0.0125	0.2098	0.0138	0.011	GCA_000221045	CP002745.1	AEK60801.1	1132930..1134390	Flagellar hook-associated protein	CFU_0969	fliD
CP002745.1_prot_0989	VI	0.539	335	0.4129	0.018	0.0101	0.0194	0.0005	0.539	GCA_000221045	CP002745.1	AEK60828.1	1169436..1170443	Major capsid protein precursor	CFU_0996	
CP002745.1_prot_0991	VI	0.4795	163	0.4695	0.0087	0.0041	0.0375	0.0007	0.4795	GCA_000221045	CP002745.1	AEK60830.1	1171258..1171749	phage head completion	CFU_0998	
CP002745.1_prot_1000	VI	0.9973	222	0.0003	0.0016	0.0	0.0004	0.0003	0.9973	GCA_000221045	CP002745.1	AEK60839.1	1177647..1178315	Baseplate assembly protein V	CFU_1007	
CP002745.1_prot_1004	VI	0.8049	750	0.0667	0.1006	0.0082	0.019	0.0006	0.8049	GCA_000221045	CP002745.1	AEK60843.1	1180099..1182351	phage-related tail fiber protein	CFU_1011	
CP002745.1_prot_1007	VI	0.9979	169	0.0004	0.0004	0.0001	0.0012	0.0	0.9979	GCA_000221045	CP002745.1	AEK60846.1	1184213..1184722	phage-related tail protein	CFU_1014	
CP002745.1_prot_1011	VI	0.9952	185	0.0015	0.0006	0.0001	0.0025	0.0001	0.9952	GCA_000221045	CP002745.1	AEK60850.1	1188208..1188765	Phage P2 GpU	CFU_1018	
CP002745.1_prot_1012	VI	0.9807	429	0.0147	0.0005	0.0	0.0025	0.0016	0.9807	GCA_000221045	CP002745.1	AEK60851.1	1188765..1190054	Phage late control D	CFU_1019	
CP002745.1_prot_1063	VI	0.9968	820	0.0024	0.0007	0.0	0.0001	0.0	0.9968	GCA_000221045	CP002745.1	AEK60902.1	1249793..1252255	putative vgr related protein	CFU_1070	
CP002745.1_prot_1064	III	0.9353	353	0.0233	0.0005	0.0006	0.9353	0.0052	0.035	GCA_000221045	CP002745.1	AEK60903.1	1252267..1253328	hypothetical protein	CFU_1071	
CP002745.1_prot_1065	III	0.7421	970	0.0013	0.1608	0.0343	0.7421	0.036	0.0255	GCA_000221045	CP002745.1	AEK60904.1	1253350..1256262	hypothetical protein	CFU_1072	
CP002745.1_prot_1068	VI	0.727	92	0.254	0.0158	0.0007	0.0009	0.0016	0.727	GCA_000221045	CP002745.1	AEK60907.1	1259532..1259810	PAAR repeat containing protein	CFU_1075	
CP002745.1_prot_1070	VI	0.5328	65	0.43	0.0045	0.0001	0.0137	0.0189	0.5328	GCA_000221045	CP002745.1	AEK60909.1	1260803..1261000	hypothetical protein	CFU_1077	
CP002745.1_prot_1102	VI	0.5515	318	0.171	0.0064	0.0007	0.167	0.1033	0.5515	GCA_000221045	CP002745.1	AEK60941.1	1296366..1297322	Flagellar hook-length control protein	CFU_1109	
CP002745.1_prot_1126	III	0.9706	95	0.012	0.0001	0.0001	0.9706	0.0169	0.0002	GCA_000221045	CP002745.1	AEK60965.1	complement(1324358..1324645)	hypothetical protein	CFU_1133	
CP002745.1_prot_1133	III	0.7547	108	0.1887	0.0003	0.0004	0.7547	0.0366	0.0193	GCA_000221045	CP002745.1	AEK60972.1	1331439..1331765	hypothetical protein	CFU_1140	
CP002745.1_prot_1135	III	0.9969	106	0.0001	0.001	0.0005	0.9969	0.0015	0.0	GCA_000221045	CP002745.1	AEK60974.1	1333533..1333853	hypothetical protein	CFU_1142	
CP002745.1_prot_1166	III	0.9823	115	0.0087	0.0003	0.0	0.9823	0.0058	0.0029	GCA_000221045	CP002745.1	AEK61005.1	1368316..1368663	Histone acetyltransferase HPA2-like acetyltransferase	CFU_1173	
CP002745.1_prot_1172	VI	0.6099	453	0.0197	0.008	0.0001	0.0478	0.3144	0.6099	GCA_000221045	CP002745.1	AEK61011.1	1379354..1380715	hypothetical protein	CFU_1179	
CP002745.1_prot_1179	VI	0.4675	241	0.0603	0.0066	0.0001	0.0395	0.4261	0.4675	GCA_000221045	CP002745.1	AEK61018.1	1392696..1393421	hypothetical protein	CFU_1186	
CP002745.1_prot_1208	III	0.5576	195	0.3238	0.0381	0.02	0.5576	0.029	0.0315	GCA_000221045	CP002745.1	AEK61047.1	complement(1425528..1426115)	Superoxide dismutase Fe	CFU_1215	sodB
CP002745.1_prot_1262	VI	0.5075	181	0.3453	0.0365	0.0068	0.0722	0.0317	0.5075	GCA_000221045	CP002745.1	AEK61101.1	1481296..1481841	hypothetical protein	CFU_1269	
CP002745.1_prot_1271	I	0.8987	2248	0.0129	0.8987	0.0764	0.0023	0.0071	0.0026	GCA_000221045	CP002745.1	AEK61110.1	1492100..1498846	outer membrane autotransporter barrel	CFU_1278	yapH
CP002745.1_prot_1306	II	0.8939	129	0.047	0.0048	0.8939	0.0302	0.004	0.02	GCA_000221045	CP002745.1	AEK61145.1	complement(1542877..1543266)	hypothetical protein	CFU_1313	
CP002745.1_prot_1320	III	0.9743	156	0.0039	0.0028	0.0003	0.9743	0.0102	0.0085	GCA_000221045	CP002745.1	AEK61159.1	1564751..1565221	hypothetical protein	CFU_1327	
CP002745.1_prot_1340	I	0.8344	511	0.0043	0.8344	0.0067	0.1372	0.0016	0.0157	GCA_000221045	CP002745.1	AEK61179.1	1586747..1588282	putative outer membrane adhesin like protein	CFU_1347	
CP002745.1_prot_1354	II	0.7962	1162	0.0705	0.0732	0.7962	0.0336	0.009	0.0174	GCA_000221045	CP002745.1	AEK61193.1	1605350..1608838	conserved protein, glycosyl hydrolase family	CFU_1361	
CP002745.1_prot_1384	VI	0.5816	87	0.1563	0.0522	0.0015	0.0441	0.1644	0.5816	GCA_000221045	CP002745.1	AEK61223.1	complement(1644069..1644332)	hypothetical protein	CFU_1391	
CP002745.1_prot_1390	III	0.7514	140	0.1689	0.0019	0.0003	0.7514	0.0612	0.0163	GCA_000221045	CP002745.1	AEK61229.1	complement(1648401..1648823)	hypothetical protein	CFU_1397	
CP002745.1_prot_1411	II	0.3951	336	0.1618	0.0023	0.3951	0.3653	0.0291	0.0464	GCA_000221045	CP002745.1	AEK61250.1	complement(1673368..1674378)	hypothetical protein	CFU_1418	
CP002745.1_prot_1413	VI	0.5062	246	0.0949	0.0017	0.0018	0.3693	0.026	0.5062	GCA_000221045	CP002745.1	AEK61252.1	complement(1675269..1676009)	Acetoacetate decarboxylase	CFU_1420	adc
CP002745.1_prot_1432	VI	0.7456	540	0.0538	0.0506	0.0004	0.0743	0.0752	0.7456	GCA_000221045	CP002745.1	AEK61271.1	1703438..1705060	conserved hypothetical protein	CFU_1439	
CP002745.1_prot_1436	III	0.6723	414	0.0133	0.0567	0.001	0.6723	0.0553	0.2014	GCA_000221045	CP002745.1	AEK61275.1	1707422..1708666	conserved hypothetical protein	CFU_1443	
CP002745.1_prot_1471	VI	0.5231	67	0.3983	0.0259	0.0018	0.0124	0.0386	0.5231	GCA_000221045	CP002745.1	AEK61310.1	complement(1757437..1757640)	cold-shock DNA-binding domain protein	CFU_1478	
CP002745.1_prot_1517	III	0.6637	108	0.2089	0.0001	0.0001	0.6637	0.1259	0.0013	GCA_000221045	CP002745.1	AEK61356.1	complement(1802290..1802616)	hypothetical protein	CFU_1524	
CP002745.1_prot_1521	II	0.9219	714	0.0096	0.0376	0.9219	0.0033	0.0118	0.0159	GCA_000221045	CP002745.1	AEK61360.1	complement(1805318..1807462)	conserved repeat domain protein	CFU_1528	
CP002745.1_prot_1523	VI	0.3998	423	0.1708	0.0151	0.0017	0.1326	0.28	0.3998	GCA_000221045	CP002745.1	AEK61362.1	complement(1808852..1810123)	hypothetical protein	CFU_1530	
CP002745.1_prot_1533	II	0.9857	604	0.0057	0.0042	0.9857	0.0013	0.001	0.002	GCA_000221045	CP002745.1	AEK61372.1	complement(1821164..1822978)	Neutral protease precursor	CFU_1540	
CP002745.1_prot_1543	III	0.9641	38	0.0209	0.0018	0.0001	0.9641	0.0035	0.0096	GCA_000221045	CP002745.1	AEK61382.1	1832736..1832852	hypothetical protein	CFU_1550	
CP002745.1_prot_1563	II	0.7922	703	0.059	0.0553	0.7922	0.005	0.0434	0.0451	GCA_000221045	CP002745.1	AEK61402.1	1851604..1853715	Peptidase S7, flavivirus helicase (NS3)	CFU_1570	
CP002745.1_prot_1566	III	0.5661	403	0.376	0.0042	0.0067	0.5661	0.0054	0.0416	GCA_000221045	CP002745.1	AEK61405.1	1857367..1858578	Putative homoserine kinase type II, PnuC-associated, THI-regulated branch	CFU_1573	
CP002745.1_prot_1573	III	0.7984	333	0.185	0.0009	0.0012	0.7984	0.0053	0.0092	GCA_000221045	CP002745.1	AEK61412.1	complement(1866245..1867246)	Methylglyoxal synthase	CFU_1580	
CP002745.1_prot_1609	III	0.7636	1756	0.0642	0.0066	0.0016	0.7636	0.0241	0.1398	GCA_000221045	CP002745.1	AEK61448.1	1900770..1906040	hypothetical protein	CFU_1616	
CP002745.1_prot_1611	VI	0.8798	233	0.004	0.0025	0.0004	0.112	0.0014	0.8798	GCA_000221045	CP002745.1	AEK61450.1	complement(1906856..1907557)	hypothetical protein	CFU_1618	
CP002745.1_prot_1614	VI	0.9005	173	0.0026	0.0013	0.0001	0.0925	0.003	0.9005	GCA_000221045	CP002745.1	AEK61453.1	complement(1908602..1909123)	conserved hypothetical protein	CFU_1621	
CP002745.1_prot_1620	VI	0.9304	195	0.0055	0.0193	0.0045	0.0312	0.0092	0.9304	GCA_000221045	CP002745.1	AEK61459.1	complement(1914750..1915337)	hypothetical protein	CFU_1627	
CP002745.1_prot_1626	III	0.3743	162	0.2395	0.0069	0.0029	0.3743	0.3702	0.0062	GCA_000221045	CP002745.1	AEK61465.1	1919558..1920046	hypothetical protein	CFU_1633	
CP002745.1_prot_1634	II	0.8212	188	0.0199	0.1	0.8212	0.0175	0.0267	0.0147	GCA_000221045	CP002745.1	AEK61473.1	complement(1926962..1927528)	putative signal peptide protein	CFU_1641	
CP002745.1_prot_1635	II	0.692	576	0.2391	0.0045	0.692	0.0084	0.0526	0.0034	GCA_000221045	CP002745.1	AEK61474.1	complement(1927644..1929374)	putative ABC transporter ATP-binding protein	CFU_1642	
CP002745.1_prot_1696	II	0.8788	562	0.0128	0.0155	0.8788	0.0652	0.0088	0.019	GCA_000221045	CP002745.1	AEK61535.1	1998760..2000448	hypothetical protein	CFU_1703	
CP002745.1_prot_1714	III	0.6961	81	0.0205	0.0081	0.0014	0.6961	0.1056	0.1682	GCA_000221045	CP002745.1	AEK61553.1	2024086..2024331	hypothetical protein	CFU_1721	
CP002745.1_prot_1716	III	0.5363	601	0.3802	0.0094	0.0226	0.5363	0.0125	0.0391	GCA_000221045	CP002745.1	AEK61555.1	2025346..2027151	Phosphoglucomutase	CFU_1723	pgm
CP002745.1_prot_1719	VI	0.7746	60	0.0047	0.0244	0.0004	0.009	0.1868	0.7746	GCA_000221045	CP002745.1	AEK61558.1	2031058..2031240	CsbD-like protein	CFU_1726	
CP002745.1_prot_1722	II	0.8408	503	0.058	0.0602	0.8408	0.0034	0.0023	0.0353	GCA_000221045	CP002745.1	AEK61561.1	complement(2034001..2035512)	chitin binding protein	CFU_1729	
CP002745.1_prot_1732	III	0.8735	426	0.0172	0.0003	0.0002	0.8735	0.1043	0.0044	GCA_000221045	CP002745.1	AEK61571.1	complement(2056176..2057456)	hypothetical protein	CFU_1739	
CP002745.1_prot_1772	VI	0.9214	152	0.0445	0.0048	0.0083	0.0034	0.0175	0.9214	GCA_000221045	CP002745.1	AEK61611.1	2100159..2100617	hypothetical protein	CFU_1779	
CP002745.1_prot_1775	III	0.9767	828	0.0138	0.0006	0.001	0.9767	0.0057	0.0022	GCA_000221045	CP002745.1	AEK61614.1	2102772..2105258	hypothetical protein	CFU_1782	
CP002745.1_prot_1797	VI	0.6813	67	0.2342	0.0449	0.0027	0.0224	0.0147	0.6813	GCA_000221045	CP002745.1	AEK61636.1	2129910..2130113	Cold shock protein	CFU_1804	cspA
CP002745.1_prot_1822	I	0.9987	2795	0.0	0.9987	0.0005	0.0005	0.0001	0.0002	GCA_000221045	CP002745.1	AEK61661.1	2161715..2170102	calcium binding hemolysin protein, putative	CFU_1829	
CP002745.1_prot_1848	II	0.9569	404	0.0091	0.0195	0.9569	0.0046	0.0004	0.0096	GCA_000221045	CP002745.1	AEK61687.1	2195424..2196638	lipoprotein, putative	CFU_1855	
CP002745.1_prot_1897	III	0.7327	236	0.2585	0.0009	0.0017	0.7327	0.003	0.0033	GCA_000221045	CP002745.1	AEK61736.1	2244656..2245366	hypothetical protein	CFU_1904	
CP002745.1_prot_1935	III	0.5479	264	0.4167	0.0018	0.0055	0.5479	0.0142	0.0139	GCA_000221045	CP002745.1	AEK61774.1	2286715..2287509	5-keto-2-deoxygluconokinase B	CFU_1943	iolB
